id,image_id,api_link,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
55494,6efc1bea-c900-28c5-e02a-c14189b10fb3,https://api.artic.edu/api/v1/artworks/55494,Peach Blossoms,Winslow Homer,1878.0,1878.0,1878,United States,Oil on canvas,Painting,['Arts of the Americas']
39690,610db6a0-d4f9-13d9-11e7-41c4460859aa,https://api.artic.edu/api/v1/artworks/39690,Portrait of Charles Lawrence Hutchinson,Julius Gari Melchers,1902.0,1902.0,c. 1902,United States,Oil on canvas,Painting,['Arts of the Americas']
97291,dd91d801-7155-a7ee-bfb5-70b94e43e100,https://api.artic.edu/api/v1/artworks/97291,"Kauterskill Clove, Catskill Mountains",Sanford Robinson Gifford,1880.0,1880.0,1880,United States,Oil on canvas,Painting,['Arts of the Americas']
72375,eac2c2c9-fe4a-ba6f-948c-b579b0f2bca3,https://api.artic.edu/api/v1/artworks/72375,Mrs. Klapp (Anna Milnor),Thomas Sully,1814.0,1814.0,1814,Philadelphia,Oil on canvas,Painting,['Arts of the Americas']
25872,b2b488b9-99f2-d091-ead4-538f20a94592,https://api.artic.edu/api/v1/artworks/25872,The White Bridge,John Henry Twachtman,1895.0,1902.0,after 1895,Connecticut,Oil on canvas,Painting,['Arts of the Americas']
30709,82a87cf0-6082-a7f7-c2cf-0fc9283ed966,https://api.artic.edu/api/v1/artworks/30709,Bar-room Scene,William Sidney Mount,1835.0,1835.0,1835,Long Island,Oil on canvas,Painting,"['Drinking and Dining', 'Arts of the Americas']"
40388,b247c76d-5ab2-8d14-9ac6-65bd5b5df90e,https://api.artic.edu/api/v1/artworks/40388,Olivia Simes Morris,James Peale,1814.0,1814.0,1814,United States,Oil on canvas,Painting,['Arts of the Americas']
57215,976bc367-269d-17ff-0151-16b9c973aae4,https://api.artic.edu/api/v1/artworks/57215,Storm in Umbria,Elihu Vedder,1875.0,1875.0,1875,Umbria,Oil on canvas,Painting,['Arts of the Americas']
56905,50034c7f-ce51-00f1-430e-a6f7efc233fc,https://api.artic.edu/api/v1/artworks/56905,Nocturne: Blue and Gold—Southampton Water,James McNeill Whistler,1872.0,1872.0,1872,London,Oil on canvas,Painting,"['Art Institute Icons', 'Essentials', 'Arts of the Americas']"
71562,815fb024-96bb-6f38-e6fc-d398d2103c65,https://api.artic.edu/api/v1/artworks/71562,Sunlight,Richard E. Miller,1913.0,1913.0,c. 1913,United States,Oil on canvas,Painting,['Arts of the Americas']
71564,c477bcd1-8fd2-b164-7d63-f9d10cc2993c,https://api.artic.edu/api/v1/artworks/71564,Autumn,Wilson Henry Irvine,1914.0,1914.0,c. 1914,United States,Oil on canvas,Painting,['Arts of the Americas']
84088,9e72fb46-920e-86a7-bc49-9a525eac4e1c,https://api.artic.edu/api/v1/artworks/84088,Violet and Silver - The Deep Sea,James McNeill Whistler,1893.0,1893.0,1893,United States,Oil on canvas,Painting,['Arts of the Americas']
78507,de8b304b-8250-78cf-dfa2-5f91458b78f9,https://api.artic.edu/api/v1/artworks/78507,"Mrs. John Nicholson (Hannah Duncan) and John Nicholson, Jr.",Charles Willson Peale,1790.0,1790.0,1790,Philadelphia,Oil on canvas,Painting,['Arts of the Americas']
78506,458eeba4-a37b-2fc1-e458-3a95f57f4f1c,https://api.artic.edu/api/v1/artworks/78506,John Nicholson,Charles Willson Peale,1790.0,1790.0,1790,Philadelphia,Oil on canvas,Painting,['Arts of the Americas']
90333,607d4ff1-578f-79ee-9980-ed133c743e64,https://api.artic.edu/api/v1/artworks/90333,An Alcove in the Art Students' League,Charles Courtney Curran,1888.0,1888.0,1888,New York City,Oil on canvas,Painting,['Arts of the Americas']
118576,d374d390-2f73-71ba-f6c1-f077fc6f2672,https://api.artic.edu/api/v1/artworks/118576,The White Horse,Herman Menzel,1929.0,1929.0,1929,United States,Oil on canvas,Painting,['Arts of the Americas']
106557,e88c48eb-a293-3401-03b8-b885e9e21bd3,https://api.artic.edu/api/v1/artworks/106557,June Morning: Lake Orta,Oliver Dennett Grover,1913.0,1913.0,1913,United States,Oil on canvas,Painting,['Arts of the Americas']
152747,3192ae4d-ffca-fe91-af12-2ca681f43e13,https://api.artic.edu/api/v1/artworks/152747,"York Harbor, Coast of Maine",Martin Johnson Heade,1877.0,1877.0,1877,York Harbor,Oil on canvas,Painting,['Arts of the Americas']
151108,f837e639-5a6c-3043-3c2c-a4d5ece3bf1d,https://api.artic.edu/api/v1/artworks/151108,The Mill Pond,George Inness,1889.0,1889.0,1889,United States,Oil on canvas,Painting,['Arts of the Americas']
200641,f4c093ee-a107-064c-1989-bd7aacadd089,https://api.artic.edu/api/v1/artworks/200641,Wharf in Ludington,Aaron Bohrod,1939.0,1939.0,1939,United States,Oil on pressboard,Painting,['Arts of the Americas']
9320,9b82ab4a-abee-0f04-5a4f-1fd4039ac341,https://api.artic.edu/api/v1/artworks/9320,My Mother,George Wesley Bellows,1921.0,1921.0,March 1921,United States,Oil on canvas,Painting,['Arts of the Americas']
