id,image_id,title,artist_title,date_start,date_end,date_display,place_of_origin,medium_display,artwork_type_title,category_titles
35579,f8424c6e-a066-ab4f-7664-3d5cd1c4fcf3,An Old Salt,Julius Gari Melchers,1895,1895,c. 1895,United States,Oil on canvas,Painting,['Arts of the Americas']
56862,7649eda7-1cc3-2b84-257e-670c0953b26b,Purple Plums,Carducius Plantagenet Ream,1895,1895,1895,United States,Oil on canvas,Painting,['Arts of the Americas']
46321,75d767b8-38ca-42af-ef70-f5960a7e86e7,On the Seine,Homer Dodge Martin,1895,1895,c. 1895,United States,Oil on canvas,Painting,['Arts of the Americas']
27943,a4bef587-48a4-d186-813d-f297441b1ab3,Mahana no atua (Day of the God),Paul Gauguin,1894,1894,1894,France,Oil on linen canvas,Painting,['Painting and Sculpture of Europe']
153799,5ccaee46-a1a0-5035-821c-0547aa35c070,Woman Bathing Her Feet in a Brook,Camille Pissarro,1894,1895,1894/95,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
120296,ff5e49d3-448f-2aba-4461-6e36c1dc7dfa,Wind-Swept Sands,William Merritt Chase,1894,1894,1894,Long Island,Oil on canvas,Painting,['Arts of the Americas']
8958,43165650-0212-8897-0605-dc3fdda88c13,Arrangement in Flesh Color and Brown: Portrait of Arthur Jerome Eddy,James McNeill Whistler,1894,1894,1894,Paris,Oil on canvas,Painting,['Arts of the Americas']
59966,96c09fd1-9b7f-13d6-17bc-083effa801c8,"Sketch for ""The Sad Inheritance""",Joaquín Sorolla y Bastida,1894,1904,c. 1899,Spain,"Oil on canvas, mounted on board",Painting,['Painting and Sculpture of Europe']
64715,a9546ba5-6191-4e04-e209-d22a10e7d0d7,After a Summer Shower,George Inness,1894,1894,1894,United States,Oil on canvas,Painting,['Arts of the Americas']
46356,24895638-4f59-1f20-06ba-63f2a27500c7,Ghosts,Yao Luan,1893,1893,"Qing dynasty (1644–1911), 1893",China,Album of twelve leaves; ink on paper,Painting,['Arts of Asia']
64724,0f2d999d-0173-2935-a6d0-0175bb97b2a9,The Home of the Heron,George Inness,1893,1893,1893,Florida,Oil on canvas,Painting,"['Essentials', 'Arts of the Americas']"
62371,4822cd01-44ac-041a-36b8-c0542377b750,Madame Cezanne in a Yellow Chair,Paul Cezanne,1893,1893,1888-90,France,Oil on canvas,Painting,['Painting and Sculpture of Europe']
